Multi-Interval Precipitation Totals

                         FLOOD CONTROL DISTRICT of MARICOPA COUNTY
                     Precipitation Report for ALL FCDMC Rain Stations
                       6 and 24 Hours Ending 12/31/25 at 1418
            *** Data is Preliminary and Unedited, ---- Denotes Missing Data ***

     Gage                          In or Nearest      Gage    Elev.  Rainfall    Rainfall      MSP Forecast       General
ACDC @ 43rd Ave.                   Phoenix            11300   1225      0.00       0.00     North Phoenix         1/4 mi. NW of Peoria Ave. and 43rd Ave.                      
ACDC @ Cave Creek                  Phoenix            12000   1230      0.00       0.00     North Phoenix         Mountain View Rd. near 23rd Ave.                             
Adobe Dam                          Phoenix            65000   1405      0.00       0.00     North Phoenix         1/4 mi. South of Deer Valley Rd. & 43rd Ave.                 
Ahwatukee                          Phoenix            70200   1280      0.00       0.00     South Phoenix         1/4 mi. SSW of Warner Rd. and 44th St.     
Buckeye Rd. @ 75th Ave.            Phoenix            6200    1025      0.00       0.00     West Valley           1/4 mi. N. of Buckeye Rd. and 75th Ave.
CAP Reach11 Dike #2                Phoenix            58600   1540      0.00       0.00     North Phoenix         0.4 mi. NW of Bell Rd. & 64th St.
Camelback Mountain East            Phoenix            57000   1535      0.00       0.00     South Phoenix         1/2 mi. NW of Chaparral Rd. & Invergordon Rd.
Camelback Rd. @ 24th Ave.          Phoenix            6800    1140      0.00       0.00     South Phoenix         24th Ave. north of Camelback Road
Cave Buttes Dam                    Phoenix            19500   1650      0.00       0.00     North Phoenix         1/4 mi. North of the Happy Valley Rd. & 16th St. alignments  
Cave Creek @ Cactus Rd.            Phoenix            11800   1280      0.00       0.00     North Phoenix         1/4 mi. ENE of I-17 and Cactus Rd.                           
Cave Creek Landfill                Phoenix            20200   1885      0.00       0.00     North Phoenix         1/2 mi. E of Carefree Hwy. and the 40th St. alignment        
Cave Cr. near Union Hills Dr.      Phoenix            8000    1410      0.00       0.00     North Phoenix         On Cave Creek 1/4 mi. N of Union Hills Dr.
Cesar Chavez Park                  Phoenix            66500   1060      0.00       0.00     South Phoenix         South end of park, 35th Ave. and Baseline Rd.                
Deer Valley Airport                Phoenix            14200   1480      0.00       0.00     North Phoenix         1/2 mi. N of Deer Valley Rd. and 7th Ave.                    
Desert Mtn. School                 Phoenix            18700   1810      0.00       0.00     New River/Cave Creek  1/4 mi. SE of Cloud Rd. and 7th Ave.
Desert Hills Wash                  Phoenix            19300   1860      0.00       0.00     New River/Cave Creek  Joy Ranch Road at 16th Street                    
Dobbins Rd. @ 19th Ave.            Phoenix            68900   1140      0.00       0.00     South Phoenix         1/4 mi. NW of Dobbins Rd. & 19th Ave.
Dreamy Draw Dam                    Phoenix            9800    1405      0.00       0.00     North Phoenix         1/4 mi. SSW of the 24th St. and Dunlap Ave. alignments       
Durango Complex                    Phoenix            3300    1050      0.00       0.00     South Phoenix         27th Ave. and Durango St.                                    
East Fork Cave Cr. Basin #1        Phoenix            7800    1495      0.00       0.00     North Phoenix         1/4 mi. E of Beardsley Rd. and Cave Creek Rd.                
East Fork Cave Cr. Basin #3        Phoenix            8700    1430      0.00       0.00     North Phoenix         1/2 mi. SW of Union Hills Dr. and Cave Creek Rd.             
East Fork Cave Cr. Basin #4        Phoenix            8200    1465      0.00       0.00     North Phoenix         1/4 mi. S of Union Hills Dr. and 32nd St.                    
East Fork Cave Cr. near 7th Ave.   Phoenix            8500    1340      0.00       0.00     North Phoenix         Near 7th Ave., 1/2 mile south of Greenway Rd.                
Gateway Community College          Phoenix            3000    1130      0.00       0.00     South Phoenix         Near 40th Street and Van Buren                
Grand Ave. @ 27th Ave.             Phoenix            3800    1100      0.00       0.00     South Phoenix         0.1 mi. NE of 27th Ave. & Thomas Rd.
Greenway Rd. @ 32nd Ave.           Phoenix            12500   1295      0.00       0.00     North Phoenix         1/4 mi. East of Greenway Rd. and 32nd Ave.                   
Guadalupe FRS                      Phoenix            68200   1285      0.00       0.00     South Phoenix         1/4 mi. SSW of Baseline Rd. and I-10                         
IBW @ Shea Blvd.                   Phoenix            59500   1360      0.00       0.00     North Phoenix         Shea Blvd. At 52nd Street                                    
IBW @ Sweetwater Ave.              Phoenix            58300   1395      0.00       0.00     North Phoenix         1/2 mi. E of 32nd St. and Sweetwater Ave.                    
Jefferson St. @ 4th Ave.           Phoenix            3500    1080      0.00       0.00     South Phoenix         County Building, 4th Ave. and Jefferson St.                  
Laveen Basin                       Phoenix            67800   1015      0.00       0.00     South Phoenix         Southern Ave. at 43rd Ave.
Maryland Ave. @ 27th Ave.          Phoenix            6700    1170      0.00       0.00     South Phoenix         Near I-17, 1/2 mi. North of Bethany Home Rd.                 
Maryvale Municipal Golf Course     Phoenix            6000    1110      0.00       0.00     South Phoenix         1/4 mi. N of Indian School Rd. and 59th Ave.                 
Missouri Ave. @ 16th St.           Phoenix            7000    1160      0.00       0.00     South Phoenix         1/2 mi. North of Camelback Rd. and 16th St.                  
New River Landfill                 Phoenix            62500   1800      0.00       0.00     New River/Cave Creek  4 mi. ENE of New Waddell Dam
Old Crosscut Canal @ McDowell Rd.  Phoenix            4700    1175      0.00       0.00     South Phoenix         McDowell Rd. at Hohokam Expressway
Papago Park                        Phoenix            4500    1210      0.00       0.00     South Phoenix         1/4 mi. N of McDowell Rd. and 52nd St.
Paradise Lane @ 47th Ave.          Phoenix            13700   1270      0.00       0.00     North Phoenix         100 yds. E of 47th Ave. & Paradise Lane
Pecos Basin                        Phoenix            70000   1185      0.00       0.00     South Phoenix         1/4 mi. SW of I-10 and Loop 202
Perry Park                         Phoenix            4200    1155      0.00       0.00     South Phoenix         1/8 mi. S of Thomas Rd. and 32nd St.
Phoenix Basin #3                   Phoenix            11500   1365      0.00       0.00     North Phoenix         Near Peoria Ave. and 7th Ave.
Phoenix Basin #7                   Phoenix            13300   1415      0.00       0.00     North Phoenix         1/8 mile SW of Thunderbird and 7th Street
Phoenix Dam #99                    Phoenix            12700   1455      0.00       0.00     North Phoenix         32nd Street and State Route 51
Phoenix Dam 2B                     Phoenix            9900    1380      0.00       0.00     North Phoenix         SE of Thunderbird Rd. and 7th St.
Phoenix West Park                  Phoenix            13500   1315      0.00       0.00     North Phoenix         Peoria Ave. at 7th Ave.
Phoenix Zoo Dam #3                 Phoenix            4300    1245      0.00       0.00     South Phoenix         1/2 mi. NE of Galvin Pkwy. and Van Buren St.
Prickly Pear Wash                  Phoenix            8100    1740      0.00       0.00     North Phoenix         0.8 mi. SW of Jomax Rd. & Tatum Blvd.
Roeser Rd. @ 2nd St.               Phoenix            66700   1080      0.00       0.00     South Phoenix         1/2 mi. SSE of Broadway Rd. and Central Ave.
Roeser Rd. @ 23rd Ave.             Phoenix            66800   1060      0.00       0.00     South Phoenix         23rd Ave. at Roeser Rd.
Salt R. @ 40th St.                 Phoenix            67000   1120      0.00       0.00     South Phoenix         South side of Salt River near 40th St.
Salt R. @ 67th Ave.                Phoenix            5500     980      0.00       0.00     South Phoenix         67th Avenue and Roeser St. N of Salt River
Skunk Tank Wash                    Phoenix            64700   1865      0.00       0.00     New River/Cave Creek  0.2 miles S of 7th Ave. and Desert Hills Dr.
Skunk Creek @ I-17                 Phoenix            65800   1475      0.00       0.00     North Phoenix         I-17 at Jomax Rd. alignment
Skunk Cr. @ Carefree Hwy.          Phoenix            65700   1685      0.00       0.00     New River/Cave Creek  0.7 miles E of I-17 on Carefree Highway
Sonoran Wash                       Phoenix            65900   1580      0.00       0.00     North Phoenix         1.75 mi. east of Loop 303 @ I-17
South Mountain Fan                 Phoenix            70500   1270      0.00       0.00     South Phoenix         Alignments of Ray Rd. and 35th Ave. in S. Mtn. Park          
South Mountain Park                Phoenix            68500   2255      0.00       0.00     South Phoenix         Alignments of Elliot Rd. and 24th St.                        
South Mtn. Park HQ                 Phoenix            69000   1410      0.00       0.00     South Phoenix         In S. Mtn. Park, alignments of Elliot Rd. and 7th Ave.       
Sweat Canyon                       Phoenix            62400   2075      0.00       0.00     North Phoenix         3 mi. W of New River
Tatum Basin Inflow                 Phoenix            58000   1405      0.00       0.00     North Phoenix         Near Shea Blvd and 40th St.                                  
Thomas Rd. @ 16th St.              Phoenix            4000    1120      0.00       0.00     South Phoenix         16 th St. at Thomas Rd.                                      
Thomas Rd. @ 48th St.              Phoenix            5000    1205      0.00       0.00     South Phoenix         Thomas Rd. and 48th St.                                      
Mt. Union                          Prescott           1000    7495      0.00       0.00     None                  Top of Mt. Union, 10 mi. SSE of Prescott                     
Queen Cr. @ Rittenhouse Rd.        Queen Creek        37700   1450      0.00       0.00     Southeast Valley      1/3 mi. SE of Signal Butte Rd. & Chandler Hgts Rd.           
Queen Cr. @ CAP                    Queen Creek        38000   1565      0.00       0.00     None                  Queen Creek at Central Arizona Project                       
Queen Creek Rd.                    Queen Creek        36000   1410      0.00       0.00     Southeast Valley      1/4 mi. NE of Queen Creek Rd. and Ellsworth Rd.              
Queen Creek Water Tank             Queen Creek        36200   1530      0.00       0.00     Southeast Valley      0.6 mi. S of Hunt Hwy. & Hawes Rd.
Sonoqui Wash near Hawes Rd.        Queen Creek        36300   1380      0.00       0.00     Southeast Valley      0.3 mi. N of Hawes Rd. & Riggs Rd.
Rittenhouse FRS                    Queen Creek        37200   1590      0.00       0.00     Superstition          Alignments of Goldfield Rd. and Germann Rd.                  
Narrows Damsite                    Salome             28000   1660      0.00       0.00     None                  5 mi. SE of Salome off Salome Highway                        
Salt River Landfill                SRPMIC             39700   1290      0.00       0.00     None                  1/4 mi. N of Gilbert Road at Beeline Highway                 
Asher Hills                        Scottsdale         75500   1660      0.00       0.00     North Scottsdale      Off Asher Dr. in McDowell Mtn. Park                          
Aztec Park                         Scottsdale         59700   1465      0.00       0.00     South Scottsdale      Near Thunderbird at Frank Lloyd Wright Blvd.                 
Bartlett Lake                      Scottsdale         82700   1780      0.00       0.00     None                  Bartlett Lake Sheriff Sub-station                            
Camp Creek                         Scottsdale         77000   3720      0.00       0.00     New River/Cave Creek  4 miles SE of Seven Springs Campground                       
Camp Cr. @ Bartlett Lake Rd.       Scottsdale         77100   2670      0.00       0.00     North Scottsdale      2.6 mi. E of Cave Creek Rd. & Bartlett Lake Rd.
Camp Creek Overlook                Scottsdale         76800   2350      0.00       0.00     None                  2.4 mi. NE of Lone Mtn. Rd. & 144th St.
Carefree Ranch                     Scottsdale         21000   2960      0.00       0.00     North Scottsdale      3.5 mi. NE of Skyranch Airport                               
El Dorado Park                     Scottsdale         56600   1220      0.00       0.00     South Scottsdale      0.3 mi. N of McDowell Rd. on Miller Rd.
Fraesfield Mountain                Scottsdale         76200   2690      0.00       0.00     North Scottsdale      Alignments of Dixaleta Dr. and 128th St.            
Granite Reef Wash                  Scottsdale         57500   1195      0.00       0.00     South Scottsdale      McDowell Rd. 200 yards east of Granite Reef Rd.            
IBW @ Indian Bend Rd.              Scottsdale         56300   1280      0.00       0.00     South Scottsdale      On Indian Bend Wash just S. of Indian Bend Rd.               
IBW @ Indian School Rd.            Scottsdale         56500   1240      0.00       0.00     South Scottsdale      Indian School Rd. at Hayden Road                             
IBW @ Interceptor Channel          Scottsdale         56800   1280      0.00       0.00     South Scottsdale      1/4 mi. SW of Pima Rd. & Indian Bend Rd.                     
IBW @ McKellips Rd.                Scottsdale         55700   1190      0.00       0.00     South Scottsdale      On Indian Bend Wash 1/4 mi. South of McKellips               
Jomax Rd. @ 70th St.               Scottsdale         60800   2010      0.00       0.00     North Scottsdale      1/4 mi. W of Jomax Rd. & Scottsdale Rd.
Lake Marguarite                    Scottsdale         59000   1325      0.00       0.00     South Scottsdale      1/4 mi. West of Doubletree and Hayden                        
Lost Dog Wash                      Scottsdale         58800   1640      0.00       0.00     North Scottsdale      1/2 mi. NNW of Shea Blvd. and 128th St.                      
McDowell Mtn. Park                 Scottsdale         75800   2120      0.00       0.00     North Scottsdale      In McDowell Mtn. Park, 4 mi. WSW of Rio Verde                
Middle Rawhide Wash                Scottsdale         60900   2685      0.00       0.00     North Scottsdale      2.25 mi. east of Westland Rd. & Pima Rd.
Old Paint Wash                     Scottsdale         76900   2820      0.00       0.00     North Scottsdale      1.25 mi. WNW of Carefree Hwy. & 136th St.
Osborn Rd. @ 64th St.              Scottsdale         56000   1255      0.00       0.00     South Scottsdale      200 yards East of Osborn Rd. @ 64th St.                      
Pima Rd. @ Union Hills Dr.         Scottsdale         60300   1625      0.00       0.00     North Scottsdale      1/4 mile West of Pima Rd. & Union Hills                      
Pinnacle Peak Powerline            Scottsdale         60700   2465      0.00       0.00     North Scottsdale      1.7 mi. ENE of Pima Rd. & Dynamite Blvd.
Pinnacle Peak Vista                Scottsdale         60500   1810      0.00       0.00     North Scottsdale      1/2 mile SSE of Deer Valley Rd. and Pima Rd.                 
Ranch Gate Road                    Scottsdale         76300   2680      0.00       0.00     North Scottsdale      Ranch Gate Road @ 118th St.
Rawhide Wash                       Scottsdale         61000   2225      0.00       0.00     North Scottsdale      1/3 mile west of Pima Rd. on Dynamite Blvd.                  
Rawhide Wash @ Pinnacle Peak Rd.   Scottsdale         60600   1855      0.00       0.00     North Scottsdale      300 yds. E of Scottsdale Rd. on Pinnacle Peak Rd.
Reata Pass Dam                     Scottsdale         61200   2600      0.00       0.00     North Scottsdale      1/2 mi. South of Dynamite Blvd. and 112th St.                
Reata Pass Wash                    Scottsdale         60000   2175      0.00       0.00     North Scottsdale      1.6 miles east of Pima Rd. on Pinnacle Peak Road             
Stagecoach Wash                    Scottsdale         20000   2555      0.00       0.00     North Scottsdale      On Pima Road about 1/2 mile south of Cave Creek Road         
Thompson Peak                      Scottsdale         2500    3485      0.00       0.00     North Scottsdale      On Thompson Peak, 120th St. and Bell Rd. alignments          
Thunderbird Academy                Scottsdale         57700   1430      0.00       0.00     South Scottsdale      1/4 mi. E of Thunderbird Rd. and Scottsdale Rd.            
Greene Wash @ SR 84                Stanfield          64000   1310      0.00       0.00     None                  10 mi. West of SR 93 (Casa Grande) on SR 84                  
Vekol Wash                         Stanfield          74500   1720      0.00       0.00     None                  Near I-8 bridge, between Gila Bend and Casa Grande             
Sun City West                      Sun City West      87000   1240      0.00       0.00     Northwest Valley      1/4 mi. SE of the Beardsley Rd. & Litchfield Rd. alignments  
Sycamore Cr. - Upper               Sunflower          82200   5825      ----       ----     None                  8 miles N of Sunflower
Iron Dike                          Sunflower          83000   4510      0.00       0.00     None                  Off SR 87 near Sunflower
Mt. Ord                            Sunflower          2000    7140      0.00       0.00     None                  Top of Mt. Ord, 4 mi. E of Sunflower                         
CAP @ 163rd Ave.                   Surprise           73300   1540      0.00       0.00     Northwest Valley      163rd Ave. at Central AZ Project Canal
Dysart Rd. @ Bell Rd.              Surprise           86700   1190      0.00       0.00     West Valley           Dysart Rd. at Bell Rd., Surprise                             
Ford Canyon Wash                   Surprise           86200   1470      0.00       0.00     West Valley           Alignments of Cactus Road and Tuthill Road                   
McMicken Dam @ Bell Rd.            Surprise           71500   1350      0.00       0.00     West Valley           Bell Rd. @ Perryville Rd. alignment
McMicken Dam                       Surprise           71700   1350      0.00       0.00     Northwest Valley      1/4 mi SE of Deer Valley Rd and Cotton Lane                  
McMicken Dam South                 Surprise           86500   1360      0.00       0.00     West Valley           1/2 mi. N of the alignments of Peoria and 195th Ave.         
McMicken Floodway                  Surprise           71300   1335      0.00       0.00     Northwest Valley      1/2 mi. N of Grand Ave. and Deer Valley Rd.                  
NW Regional Landfill               Surprise           73000   1410      0.00       0.00     Northwest Valley      Near 195th Ave. and Deer Valley Rd.                          
Patton Road                        Surprise           72000   1620      0.00       0.00     Northwest Valley      7 mi. E of Grand Ave. on Patton Rd.                          
Sun Valley Parkway North           Surprise           72100   1640      ----       ----     Northwest Valley      Sun Valley Parkway @ 243rd Ave.
ASU South                          Tempe              67500   1165      0.00       0.00     Southeast Valley      1/4 mi. NNE of Broadway Rd. and Mill Ave.                    
Salt R. @ Priest Dr.               Tempe              67300   1140      0.00       0.00     Southeast Valley      West side of Salt River bridge at Priest Drive               
Big Horn Road                      Tonopah            26700   1815      0.00       0.00     None                  6.9 mi. NE of Salome Hwy. @ Eagle Eye Rd.
Delaney Wash                       Tonopah            25000   1130      0.00       0.00     Palo Verde            3 miles SSW of Tonopah                                       
Sugarloaf Mountain                 Tonopah            23000   2760      0.00       0.00     None                  16 mi. NW of Tonopah
Winters Wash                       Tonopah            25500   1125      0.00       0.00     None                  1 mi. N of Indian School Rd. and 403rd Ave.                  
Alamo Road                         Wenden             29400   2450      0.00       0.00     None                  8 mi. north of Wenden, La Paz Co.
Centennial Wash @ Wenden           Wenden             27500   1880      ----       ----     None                  5.5 mi. NE of Salome on US 60 Bridge                         
Antelope Creek                     Wickenburg         55200   2400      0.00       0.00     Wickenburg            6.5 miles NNW of Wickenburg
Black Hill                         Wickenburg         50500   2420      0.00       0.00     Wickenburg            2.3 miles WSW of the US 93 / US 89 junction                  
Black Mountain                     Wickenburg         51000   2680      0.00       0.00     Wickenburg            Along US 60, 9 mi. West of US 60 / US 93                     
Blue Tank Wash                     Wickenburg         52700   2445      0.00       0.00     Wickenburg            Blue Tank Rd. @ Blue Tank Wash
Box Wash                           Wickenburg         47500   2260      0.00       0.00     None                  9 miles southwest of Wickenburg
Casandro Dam                       Wickenburg         53000   2165      0.00       0.00     Wickenburg            1.1 miles W of the US60 / US93 intersection                  
Casandro Wash                      Wickenburg         52000   2240      0.00       0.00     Wickenburg            On US 60 bridge, 2 mi. West of US 60 / US 93                 
Constellation Road                 Wickenburg         52300   2260      0.00       0.00     Wickenburg            1.4 mi. NE of the US 60 / US 93 junction                     
Flying E Tank                      Wickenburg         51500   2540      0.00       0.00     Wickenburg            6.3 mi. WSW of the US 93 / US 89 junction at Wickenburg      
Flying E Wash                      Wickenburg         51700   2305      0.00       0.00     Wickenburg            On US 60 bridge, 3 mi. West of US 60 / US 93                 
Hartman Wash                       Wickenburg         51200   2460      0.00       0.00     Wickenburg            On US 60 bridge, 6.3 mi. West of US 60 / US 93               
Hassayampa R. @ Box Canyon         Wickenburg         53500   2245      0.00       0.00     Wickenburg            6 mi. N of Wickenburg on Hassayampa River, Yavapai County    
Hassayampa R. @ US 60              Wickenburg         45700   2030      0.00       0.00     Wickenburg            Hassayampa River at US 60/93 in Wickenburg                   
Martinez Creek                     Wickenburg         49500   2410      0.00       0.00     Wickenburg            1 mi. East of the US 93 / US 89 junction                     
O'Brien Gulch                      Wickenburg         53700   2960      0.00       0.00     None                  11 mi. NE of Wickenburg, Yavapai County                      
Powder House Wash                  Wickenburg         52500   2130      0.00       0.00     Wickenburg            1/2 mi. NE of US 60 and Constellation Rd., Wickenburg        
Sols Tank                          Wickenburg         50300   2595      0.00       0.00     Wickenburg            6.3 mi. WNW of the US 93 / US 89 junction                    
Sols Trib. @ SR 93                 Wickenburg         50000   2580      0.00       0.00     Wickenburg            3.3 miles NW of the US 93 / US 89 junction                   
Sols Wash @ SR 71                  Wickenburg         47700   2740      0.00       0.00     Wickenburg            1/2 mile SW of the SR 71 / US 93 intersection                
Sols Wash near Matthie             Wickenburg         50800   2220      0.00       0.00     Wickenburg            Sols Wash at SPRR bridge, 2 mi. N. of Wickenburg Airport     
Sunnycove FRS                      Wickenburg         46500   2150      0.00       0.00     Wickenburg            1 mi. SW of the US 60 / US 93 intersection in Wickenburg     
Sunset FRS                         Wickenburg         46000   2140      0.00       0.00     Wickenburg            3/4 mi. WSW of the US 60 / US 93 intersection in Wickenburg  
Twin Peaks                         Wickenburg         46800   2675      0.00       0.00     None                  6 miles southwest of Wickenburg
Vulture Mine Road                  Wickenburg         47000   2380      0.00       0.00     Wickenburg            3 mi. SW of Wickenburg                                       
Wickenburg Airport                 Wickenburg         52800   2385      0.00       0.00     Wickenburg            4.5 mi. West of the US 60 / US 93 junction                   
Wilhoit                            Wilhoit            54500   5010      0.00       0.00     None                  10 mi. SSW of Prescott, Yavapai County                       
Douglas Ranch Rd.                  Wittmann           72200   1765      0.00       0.00     Northwest Valley      3.5 mi. N of Patton Rd. and the Hassayampa River
Wittmann                           Wittmann           72500   1655      0.00       0.00     Northwest Valley      US 60/93 at Witmann, 4 mi. SE of Circle City                 
Stanton                            Yarnell            49000   3465      0.00       0.00     None                  6.5 mi. East of Congress, Yavapai County                     
Upper Martinez Cr.                 Yarnell            55500   3270      0.00       0.00     None                  4.5 miles WSW of Yarnell                                     
Yarnell Hill                       Yarnell            1600    5120      0.00       0.00     None                  1 mile ENE of Yarnell                                        
